quote_date,expiration,strike,option_type,underlying_price,bid,ask,mid,volume,open_interest,implied_volatility,moneyness,tte,delta,gamma,vega,theta,z_vol_oi,z_iv,z_spread,iv_residual,pcp_deviation,pcp_dev_pct,if_score_pct,composite_score,flag_wide_spread,flag_zscore_anomaly,flag_surface_anomaly,flag_pcp_violation,flag_greeks_anomaly,if_anomaly
2026-04-21,2027-12-17,55.0,C,706.8800048828125,623.0,627.74,625.37,2.0,0.0,1.0000000000000003e-05,0.07780669932673788,605,0.9786825532081472,0.0,0.0,-0.031828386080200485,0.11716174736291861,-1.5700878730278152,-0.33592270474357006,-0.8251945822190649,-16.06812307902362,-0.05138058861994239,0.6804135898570547,3,False,False,True,True,False,True
2026-04-21,2026-04-21,679.0,P,706.8800048828125,0.01,0.02,0.015,2688.0,1513.0,0.304694453125,0.9605590698700913,1,-0.005577504094206085,0.0014135706775012563,0.0058963140349503895,-0.08940456720748276,0.09621756348459395,0.07931617967837261,4.952191651349858,-0.011512391207034067,-0.5565561392813656,-0.04058750036053712,0.5368501594174864,3,True,False,False,True,False,True
2026-04-21,2026-04-22,708.0,C,706.8800048828125,2.09,2.11,2.0999999999999996,11140.0,2688.0,0.125985302734375,1.0015844204241895,1,0.4126957611530694,0.08352379354896007,0.14405509561768615,-0.9591951671102313,0.3170065471851317,-0.8881227358512184,-0.32032285170341485,-0.2294769485584464,-0.26068735184554104,-0.09470926689782894,0.5998548577555123,3,False,False,False,True,True,True
2026-04-21,2027-01-15,55.0,P,706.8800048828125,0.02,0.04,0.03,10.0,5128.0,0.937500625,0.07780669932673788,269,-0.00015111324835394115,1.0242501118425867e-06,0.003536131409822028,-0.0006010901442057169,-0.06918285514358843,3.5050015199143014,4.952191651349858,0.14801042213189686,4.942243594909542,0.015155375047160167,0.7055212037465578,3,True,True,False,False,False,True
2026-04-21,2027-01-15,60.0,P,706.8800048828125,0.03,0.05,0.04,20.0,23800.0,0.92187578125,0.0848800356291686,269,-0.0001917746334785412,1.3017150532831322e-06,0.00441915406640047,-0.0007380822452724808,-0.06928632107585718,3.4204166966985996,3.6149597121696804,0.13929378947182447,,,0.6692894901627882,3,True,True,False,False,False,True
2026-04-21,2027-01-15,65.0,P,706.8800048828125,0.03,0.06,0.045,3.0,229.0,0.9023447265625,0.09195337193159932,269,-0.00022598927744205323,1.550227878837532e-06,0.005151323656598904,-0.0008415024829192268,-0.06814821346885967,3.314685667678972,4.952191651349857,0.1266375775208639,,,0.6975696198841048,3,True,True,False,False,False,True
2026-04-21,2027-01-15,70.0,P,706.8800048828125,0.04,0.06,0.05,2.0,1764.0,0.8808605664062499,0.09902670823403004,269,-0.00025395141683995034,1.7705639572215657e-06,0.005743407056407884,-0.000915216063924192,-0.06925900953461882,3.1983815357573815,2.812620548661572,0.11199489174776522,-10.291730035540809,-0.033061550330814544,0.633064730462374,3,False,True,False,True,False,True
2026-04-21,2026-04-21,711.0,P,706.8800048828125,4.54,4.68,4.609999999999999,114664.0,3009.0,0.1333094482421875,1.005828422205648,1,-0.7921670558499637,0.05806729634668765,0.10597198425674365,-0.6458630075133424,3.483437210232693,-0.8484735999688581,-0.15307562187598445,-0.16591342147893895,-0.4511147186625468,-0.19094794823898353,0.8813621062783411,3,False,False,False,True,True,True
2026-04-21,2026-04-21,710.0,P,706.8800048828125,3.7,3.72,3.71,256855.0,3959.0,0.11695218994140624,1.0044137549451617,1,-0.7576708744431382,0.07221276812151559,0.11561678308344475,-0.6183335443839485,5.979909063478953,-0.937023336772796,-0.353483320276077,-0.18278074060721047,-0.46097226305687844,-0.23549018011070158,0.9478717099582871,3,False,False,False,True,True,True
2026-04-21,2026-04-21,709.0,P,706.8800048828125,2.91,2.93,2.92,259859.0,6465.0,0.11219149536132811,1.0029990876846757,1,-0.6874894491512253,0.08528056075935715,0.13098106397285555,-0.6824123611866549,3.678746471840242,-0.9627952750963303,-0.3417813681442709,-0.18805283074891443,-0.47082980745120917,-0.2832057288694618,0.895267073354449,3,False,False,False,True,True,True
2026-04-21,2026-04-21,708.0,P,706.8800048828125,2.06,2.08,2.0700000000000003,231054.0,8844.0,0.09827561889648437,1.0015844204241895,1,-0.6119366111706445,0.10536166246069643,0.14175126132193916,-0.6500256340724588,2.366908883135371,-1.0381286332728148,-0.31921541324446645,-0.20248143750951966,-0.32068735184554065,-0.2311258527709462,0.86197232107219,3,False,False,False,True,True,True
2026-04-21,2026-04-21,707.0,P,706.8800048828125,1.5,1.51,1.505,231819.0,10738.0,0.0981535498046875,1.0001697531637033,1,-0.5038406599437084,0.10984214554696843,0.14759564666426608,-0.6860873382265186,1.9438754735456978,-1.0387894522041874,-0.3434245330447335,-0.20311757163121347,-0.30554489623987147,-0.22973283196018013,0.8631428585178658,3,False,False,False,True,True,True
2026-04-21,2026-04-21,706.0,P,706.8800048828125,1.08,1.09,1.085,158639.0,6745.0,0.10096113891601563,0.9987550859032173,1,-0.39796374028384374,0.10328121407615112,0.14274933884683316,-0.6903977160595726,2.1238140478478247,-1.0235906167826159,-0.3227877953701064,-0.20082538228391758,-0.34540244063420245,-0.24849078571468833,0.852378912449693,3,False,False,False,True,True,True
